,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
275,NATALIZUMAB|TYSABRI,354770,Multiple sclerosis|Relapsing-remitting multiple sclerosis|Crohn's disease|Secondary progressive multiple sclerosis,MONDO:0005301|MONDO:0005314|MONDO:0005011|MONDO:0000450,C0026769|C0751967|C0010346|C0751965
276,rolapitant|ROLAPITANT HYDROCHLORIDE|VARUBI,1665496,,,
277,MILNACIPRAN|SAVELLA,588250,Fibromyalgia|Depression,MONDO:0005546|MONDO:0002050,C0016053|C0011570
278,CABERGOLINE|CABERGOLINE.,47579,Prolactin-producing pituitary tumour|Prolactinoma|Hyperprolactinaemia|Pituitary tumour benign,MONDO:0003430|MONDO:0010911|MONDO:0005804|MONDO:0021439,C0278863|C0033375|C0020514|C0496901
279,ERWINAZE|ERWINIA ASPARAGINASE,235996,Acute lymphocytic leukaemia,MONDO:0013108,C0023449
280,Acovil|ALTACE|Delix|RAMIPRIL|RAMIPRIL.|Triatec|Tritace,35296,Hypertension|Cardiac failure|Essential hypertension|Myocardial infarction|Myocardial ischaemia,MONDO:0005044|MONDO:0005252|MONDO:0007781|MONDO:0005068|MONDO:0005010,C0020538|C0018801|C0085580|C0027051|C0151744
281,MANNITOL|MANNITOL.|OSMITROL,6628,,,
282,HYDROXYPROGESTERONE|HYDROXYPROGESTERONE CAPROATE|HYDROXYPROGESTERONE CAPROATE.|MAKENA,5542,,,
283,CRESTOR|ROSUVASTATIN|ROSUVASTATIN CALCIUM|ROSUVASTATIN CALCIUM.|ROSUVASTATIN.,301542,Hyperlipidaemia|Dyslipidaemia|Coronary artery disease|Myocardial infarction|Type IIa hyperlipidaemia|Arteriosclerosis|Cardiac disorder,MONDO:0013577|MONDO:0015123|MONDO:0005010|MONDO:0005068|MONDO:0007750|MONDO:0002277|MONDO:0005267,C0020473|C0242339|C1956346|C0027051|C0745103|C0003850|C0018799
284,SELEXIPAG|UPTRAVI,1729002,Pulmonary arterial hypertension|Pulmonary hypertension,MONDO:0015924|MONDO:0005149,C2973725|C0020542
285,CHLORPROMAZINE|CHLORPROMAZINE HYDROCHLORIDE|CHLORPROMAZINE HYDROCHLORIDE.|CHLORPROMAZINE.,2403,,,
286,Cimetidine|Tagamet,2541,,,
287,PARNATE|TRANYLCYPROMINE|TRANYLCYPROMINE SULFATE.,10734,Depression,MONDO:0002050,C0011570
288,PRIMAQUINE|PRIMAQUINE PHOSPHATE|PRIMAQUINE PHOSPHATE.,8687,,,
289,TRAZODONE|TRAZODONE HYDROCHLORIDE|TRAZODONE HYDROCHLORIDE.,10737,Insomnia|Sleep disorder|Depression|Anxiety,MONDO:0013600|MONDO:0003406|MONDO:0002050|MONDO:0011918,C0917801|C0851578|C0011570|C0003467
290,RIVAROXABAN|XARELTO,1114195,Atrial fibrillation|Pulmonary embolism|Thrombosis|Cerebrovascular accident|Atrial flutter|Arrhythmia|Cardiac disorder|Transient ischaemic attack|Antiphospholipid syndrome|Hypercoagulation|Coagulopathy|Coronary artery disease|Portal vein thrombosis|Myocardial infarction|Peripheral vascular disorder|Hypertension|Thrombophlebitis|Cardiovascular disorder|Cardiac failure congestive|Ischaemic stroke|Cerebral infarction|Blood disorder,MONDO:0004981|MONDO:0005279|MONDO:0000831|MONDO:0005098|MONDO:0005310|MONDO:0007263|MONDO:0005267|MONDO:0005264|MONDO:0007140|MONDO:0008559|MONDO:0016627|MONDO:0005010|MONDO:0019431|MONDO:0005068|MONDO:0005294|MONDO:0005044|MONDO:0002800|MONDO:0004995|MONDO:0005009|MONDO:0011057|MONDO:0002679|MONDO:0005570,C0004238|C0034065|C0040053|C0038454|C0004239|C0003811|C0018799|C0007787|C0085278|C0398623|C0005779|C1956346|C0155773|C0027051|C0085096|C0020538|C0040046|C0007222|C0018802|C0948008|C0007785|C0018939
291,GATTEX|TEDUGLUTIDE,1364468,Short-bowel syndrome,MONDO:0015183,C0036992
292,MAPROTILINE,6646,,,
293,CETRAXAL|CILOXAN|CIPRO|CIPROFLOXACIN|CIPROFLOXACIN 250 MG|CIPROFLOXACIN 500 MG|CIPROFLOXACIN HCL 500MG TAB|CIPROFLOXACIN HYDROCHLORIDE|CIPROFLOXACIN HYDROCHLORIDE.|CIPROFLOXACIN.|OTIPRIO,2551,Urinary tract infection|Prostatitis|Cystitis|Diverticulitis|Sinusitis|Kidney infection|Pneumonia|Bronchitis|Epididymitis|Pyelonephritis|Bacterial infection|Ear infection|Cellulitis|Colitis|Staphylococcal infection|Gastroenteritis|Osteomyelitis|Diarrhoea infectious|Orchitis,MONDO:0005247|MONDO:0005280|MONDO:0006032|MONDO:0004235|MONDO:0005961|MONDO:0004369|MONDO:0005249|MONDO:0003781|MONDO:0004779|MONDO:0006939|MONDO:0015575|MONDO:0021666|MONDO:0005230|MONDO:0005292|MONDO:0024313|MONDO:0002269|MONDO:0005246|MONDO:0001517|MONDO:0006882,C0042029|C0033581|C0010692|C0012813|C0037199|C0021313|C0032285|C0006277|C0014534|C0034186|C0004623|C0699744|C0007642|C0009319|C0038160|C0017160|C0029443|C0013369|C0029191
294,PHENDIMETRAZINE|PHENDIMETRAZINE.,33272,,,
295,NOLVADEX|TAMOXIFEN|TAMOXIFEN 20 MG|TAMOXIFEN CITRATE|TAMOXIFEN CITRATE.,10324,Breast cancer,MONDO:0007254,C0006142
296,PROBENECID|PROBENECID.,8698,,,
297,CISPLATIN|CISPLATIN INJECTION|CISPLATIN.,2555,Non-small cell lung cancer|Gastric cancer|Oesophageal carcinoma|Lung neoplasm malignant|Small cell lung cancer|Lung adenocarcinoma|Squamous cell carcinoma of head and neck|Cervix carcinoma|Osteosarcoma|Ovarian cancer|Neoplasm malignant|Nasopharyngeal cancer|Bladder cancer|Squamous cell carcinoma|Adenocarcinoma gastric|Head and neck cancer|Oesophageal squamous cell carcinoma|Testis cancer|Germ cell cancer|Transitional cell carcinoma|Seminoma|Oesophageal adenocarcinoma|Plasma cell myeloma|Medulloblastoma|Neuroblastoma|Hepatoblastoma|Hodgkin's disease|Squamous cell carcinoma of the tongue|Laryngeal cancer,MONDO:0005233|MONDO:0001056|MONDO:0007576|MONDO:0008903|MONDO:0008433|MONDO:0008903|MONDO:0010150|MONDO:0016274|MONDO:0021054|MONDO:0008170|MONDO:0004992|MONDO:0015459|MONDO:0001187|MONDO:0000500|MONDO:0005036|MONDO:0005627|MONDO:0005580|MONDO:0010108|MONDO:0006290|MONDO:0006474|MONDO:0003669|MONDO:0013662|MONDO:0009693|MONDO:0007959|MONDO:0009741|MONDO:0018666|MONDO:0009348|MONDO:0000500|MONDO:0002352,C0007131|C0024623|C0152018|C0242379|C0149925|C0152013|C1168401|C0302592|C0029463|C1140680|C0006826|C0153392|C0005684|C0007137|C0278701|C0278996|C0279626|C0153594|C0740345|C0007138|C0036631|C0279628|C0026764|C0025149|C0027819|C0206624|C0019829|C0349566|C0007107
298,PROCAINAMIDE,8700,,,
299,APRACLONIDINE|IOPIDINE,14845,,,
300,MATULANE|PROCARBAZINE,8702,Brain neoplasm malignant|Hodgkin's disease|Brain neoplasm|Lymphoma|Neoplasm malignant|Non-Hodgkin's lymphoma|Central nervous system lymphoma|Diffuse large B-cell lymphoma,MONDO:0001657|MONDO:0009348|MONDO:0021211|MONDO:0005062|MONDO:0004992|MONDO:0011508|MONDO:0002571|MONDO:0018905,C0153633|C0019829|C0006118|C0024299|C0006826|C0024305|C0742472|C0079744
301,ANTARA|Fenofibrate|FENOFIBRATE.|FENOFIBRIC ACID|FENOFIBRIC ACID.|TRICOR|TRIGLIDE|TRILIPIX,8703,Hyperlipidaemia|Hypertriglyceridaemia|Dyslipidaemia,MONDO:0013577|MONDO:0005347|MONDO:0015123,C0020473|C0020557|C0242339
302,COMPAZINE|PROCHLORPERAZINE|PROCHLORPERAZINE MALEATE|PROCHLORPERAZINE MALEATE.|PROCHLORPERAZINE.,8704,,,
303,ALL TRANS RETINOIC ACID|ALL-TRANS-RETINOIC ACID|ATRALIN|RENOVA|RETIN-A|RETINOIC ACID|Tretinoin|TRETINOIN.,10753,Acute promyelocytic leukaemia|Acne|Acute myeloid leukaemia,MONDO:0012883|MONDO:0011438|MONDO:0018874,C0023487|C0702166|C0023467
304,TEGASEROD,139778,,,
305,FAMCICLOVIR|FAMCICLOVIR.|FAMVIR,68099,Herpes zoster,MONDO:0005609,C0019360
306,ALLOPURINOL|ALLOPURINOL 100 MG|ALLOPURINOL 300 MG|ALLOPURINOL.|DUZALLO|ZYLOPRIM,519,Gout|Hyperuricaemia|Gouty arthritis|Tumour lysis syndrome,MONDO:0005393|MONDO:0002144|MONDO:0005393|MONDO:0043875,C0018099|C0740394|C0003868|C0041364
307,DYRENIUM,10763,,,
308,BRIDION|sugammadex|SUGAMMADEX SODIUM,1726988,,,
309,EFAVIRENZ|EFAVIRENZ.|SUSTIVA,195085,HIV infection|Acquired immunodeficiency syndrome,MONDO:0005109|MONDO:0012268,C0019693|C0001175
310,PROCYCLIDINE,8718,,,
311,DURVALUMAB|DURVALUMAB.|IMFINZI,1919503,Non-small cell lung cancer,MONDO:0005233,C0007131
312,EMVERM|MEBENDAZOLE|MEBENDAZOLE.|VERMOX,6672,Enterobiasis,MONDO:0005746,C0086227
313,Mechlorethamine|MUSTARGEN|Valchlor,6674,Mycosis fungoides,MONDO:0009691,C0026948
314,Metoclopramide|METOCLOPRAMIDE 10 MG|METOCLOPRAMIDE HYDROCHLORIDE|METOCLOPRAMIDE HYDROCHLORIDE.|METOCLOPRAMIDE INJECTION|METOCLOPRAMIDE.|REGLAN,6915,Gastrooesophageal reflux disease|Dyspepsia|Gastrointestinal disorder,MONDO:0007186|MONDO:0002268|MONDO:0004335,C0017168|C0013395|C0017178
315,ALVESCO|CICLESONIDE|OMNARIS|ZETONNA,274964,Asthma,MONDO:0004979,C0004096
316,Meloxicam|MELOXICAM 7.5 MG|MELOXICAM.|MOBIC|Mobicox|VIVLODEX,41493,Arthritis|Osteoarthritis|Rheumatoid arthritis|Desmoid tumour,MONDO:0005578|MONDO:0008143|MONDO:0008383|MONDO:0007608,C0003864|C0029408|C0003873|C0079218
317,Cleocin|CLINDAGEL|CLINDAMYCIN|CLINDAMYCIN 300 MG|CLINDAMYCIN HYDROCHLORIDE|CLINDAMYCIN HYDROCHLORIDE.|CLINDAMYCIN PALMITATE HYDROCHLORIDE|CLINDAMYCIN PALMITATE HYDROCHLORIDE.|CLINDAMYCIN PHOSPHATE|CLINDAMYCIN PHOSPHATE.|CLINDAMYCIN.|CLINDESSE,2582,Cellulitis|Acne|Tooth abscess|Tonsillitis|Sinusitis|Bacterial vaginosis|Staphylococcal infection|Skin infection,MONDO:0005230|MONDO:0011438|MONDO:0000750|MONDO:0001039|MONDO:0005961|MONDO:0005316|MONDO:0024313|MONDO:0021201,C0007642|C0702166|C0518988|C0040425|C0037199|C0085166|C0038160|C0037278
318,LEVOCETIRIZINE|LEVOCETIRIZINE DIHYDROCHLORIDE|LEVOCETIRIZINE DIHYDROCHLORIDE.|Levocetirizine hydrochloride|XUSAL|XYZAL,356887,Rhinitis allergic|Hypersensitivity|Seasonal allergy|Urticaria,MONDO:0011786|MONDO:0005271|MONDO:0005324|MONDO:0005492,C2607914|C0020517|C0018621|C0042109
319,BEDAQUILINE|SIRTURO,1364504,Tuberculosis|Pulmonary tuberculosis,MONDO:0018076|MONDO:0006052,C0041296|C0041327
320,GALANTAMINE|GALANTAMINE HYDROBROMIDE|GALANTAMINE HYDROBROMIDE.|GALANTAMINE.|RAZADYNE|REMINYL,4637,Dementia Alzheimer's type|Dementia,MONDO:0004975|MONDO:0001627,C0002395|C0497327
321,CLOBETASOL|CLOBETASOL PROPIONATE|CLOBETASOL PROPIONATE.|CLOBEX|Olux,2590,Psoriasis|Eczema,MONDO:0005083|MONDO:0004980,C0033860|C0013595
322,CLOFAZIMINE,2592,Tuberculosis,MONDO:0018076,C0041296
323,ARAVA|LEFLUNOMIDE|LEFLUNOMIDE.,27169,Rheumatoid arthritis|Psoriatic arthropathy|Arthritis,MONDO:0008383|MONDO:0011849|MONDO:0005578,C0003873|C0003872|C0003864
324,DEPO PROVERA|Depo-Provera|MEDROXYPROGESTERONE|MEDROXYPROGESTERONE ACETATE|MEDROXYPROGESTERONE ACETATE.|Provera,6691,Endometriosis,MONDO:0005133,C0014175
325,CLOMIPHENE|CLOMIPHENE CITRATE|CLOMIPHENE CITRATE.|SEROPHENE,2596,Infertility,MONDO:0005047,C0021359
326,ANAFRANIL|CLOMIPRAMINE|CLOMIPRAMINE HYDROCHLORIDE|CLOMIPRAMINE HYDROCHLORIDE.,2597,Depression|Obsessive-compulsive disorder,MONDO:0002050|MONDO:0008114,C0011570|C0028768
327,CAPEX|DERMOTIC|FLUOCINOLONE|FLUOCINOLONE ACETONIDE|FLUOCINOLONE ACETONIDE.|ILUVIEN|RETISERT|SYNALAR,25126,,,
328,ALDARA|IMIQUIMOD|IMIQUIMOD.|ZYCLARA,59943,Actinic keratosis|Basal cell carcinoma|Anogenital warts|Skin cancer,MONDO:0005173|MONDO:0005341|MONDO:0005647|MONDO:0002898,C0022602|C0007117|C0009663|C0007114
329,PHENERGAN|PROMETHAZINE|PROMETHAZINE HYDROCHLORIDE|PROMETHAZINE HYDROCHLORIDE.,8745,,,
330,Alsuma|IMITREX|ONZETRA|SUMATRIPTAN|SUMATRIPTAN INJECTION|Sumatriptan nasal spray|SUMATRIPTAN SUCCINATE|SUMATRIPTAN SUCCINATE.|SUMATRIPTAN.|ZECUITY,37418,Migraine|Cluster headache|Migraine without aura,MONDO:0008000|MONDO:0043537|MONDO:0011847,C0149931|C0009088|C0338480
331,ROCURONIUM|ROCURONIUM BROMIDE|ROCURONIUM BROMIDE.|ZEMURON,68139,,,
332,CEREBYX|FOSPHENYTOIN|FOSPHENYTOIN SODIUM|FOSPHENYTOIN SODIUM.,72236,Status epilepticus|Epilepsy,MONDO:0002125|MONDO:0005027,C0038220|C0014544
333,SYPRINE|TRIENTINE,10798,Hepato-lenticular degeneration,MONDO:0010200,C0019202
334,MEGACE|MEGESTROL|Megestrol Acetate|MEGESTROL ACETATE.,6703,,,
335,TRIFLUOPERAZINE,10800,,,
336,INSULIN DETEMIR|LEVEMIR,139825,Type 2 diabetes mellitus|Diabetes mellitus|Type 1 diabetes mellitus|Gestational diabetes,MONDO:0015122|MONDO:0015122|MONDO:0009100|MONDO:0007453,C0011860|C0011849|C0011854|C0085207
337,FLUORESCEIN|FLUORESCEIN SODIUM|FLUORESCEIN SODIUM.,25138,,,
338,LONSURF|TRIFLURIDINE|TRIFLURIDINE.|Viroptic,10803,Colon cancer|Rectal cancer|Colorectal cancer|Rectosigmoid cancer|Neoplasm malignant|Appendix cancer,MONDO:0021063|MONDO:0006519|MONDO:0005575|MONDO:0002424|MONDO:0004992|MONDO:0001235,C0007102|C0007113|C1527249|C1327709|C0006826|C0496779
339,CellCept|MYCOPHENOLATE MOFETIL|MYCOPHENOLATE MOFETIL.,68149,Systemic lupus erythematosus|Lupus nephritis|Myasthenia gravis|Nephrotic syndrome|Pemphigus|Graft versus host disease|Autoimmune hepatitis|Granulomatosis with polyangiitis|Interstitial lung disease|Neuromyelitis optica spectrum disorder|Pemphigoid|Focal segmental glomerulosclerosis|Dermatitis atopic|Chronic graft versus host disease|Scleroderma|IgA nephropathy|Autoimmune disorder|Dermatomyositis|Glomerulonephritis membranous|Glomerulonephritis minimal lesion|Polymyositis,MONDO:0007915|MONDO:0005556|MONDO:0009688|MONDO:0005377|MONDO:0006594|MONDO:0013730|MONDO:0016264|MONDO:0012105|MONDO:0015925|MONDO:0019100|MONDO:0019082|MONDO:0011303|MONDO:0011292|MONDO:0020547|MONDO:0019340|MONDO:0005342|MONDO:0007179|MONDO:0016367|MONDO:0005376|MONDO:0006835|MONDO:0019127,C0024141|C0024143|C0026896|C0027726|C0030807|C0018133|C0241910|C3495801|C0206062|C0027873|C0030805|C0017668|C0011615|C0867389|C0011644|C0017661|C0004364|C0011633|C0017665|C0027721|C0085655
340,MELATONIN,6711,,,
341,BILTRICIDE|PRAZIQUANTEL,8628,,,
342,ACLIDINIUM|ACLIDINIUM BROMIDE|ACLIDINIUM BROMIDE.|TUDORZA,1303098,Chronic obstructive pulmonary disease,MONDO:0011751,C0024117
343,TRIHEXYPHENIDYL,10811,,,
344,Cytomel|LIOTHYRONINE|LIOTHYRONINE SODIUM|LIOTHYRONINE SODIUM.,10814,Hypothyroidism|Thyroid disorder|Autoimmune thyroiditis,MONDO:0015893|MONDO:0015125|MONDO:0007699,C0020676|C0040128|C0920350
345,Minipress|PRAZOSIN|PRAZOSIN HCL|PRAZOSIN HYDROCHLORIDE|PRAZOSIN HYDROCHLORIDE.|PRAZOSIN.,8629,Post-traumatic stress disorder|Hypertension,MONDO:0005146|MONDO:0005044,C0038436|C0020538
346,BONIVA|IBANDRONATE|IBANDRONATE SODIUM|IBANDRONATE SODIUM.,115264,Osteoporosis|Osteoporosis postmenopausal|Bone disorder|Senile osteoporosis,MONDO:0005298|MONDO:0005298|MONDO:0005381|MONDO:0008159,C0029456|C0029458|C0005940|C0029459
347,Betaseron|EXTAVIA|INTERFERON BETA-1B,72257,Multiple sclerosis|Relapsing-remitting multiple sclerosis|Secondary progressive multiple sclerosis,MONDO:0005301|MONDO:0005314|MONDO:0000450,C0026769|C0751967|C0751965
348,CLOZAPINE|CLOZAPINE.|CLOZARIL|FAZACLO|VERSACLOZ,2626,"Schizophrenia|Schizoaffective disorder|Psychotic disorder|Schizophrenia, paranoid type|Bipolar disorder|Mental disorder|Parkinson's disease",MONDO:0005090|MONDO:0005487|MONDO:0005485|MONDO:0001484|MONDO:0004985|MONDO:0002025|MONDO:0005180,C0036341|C0036337|C0033975|C0036349|C0005586|C0004936|C0030567
349,DARATUMUMAB|DARZALEX,1721947,Plasma cell myeloma|Amyloidosis,MONDO:0009693|MONDO:0019065,C0026764|C0002726
350,CARFILZOMIB|KYPROLIS,1302966,Plasma cell myeloma,MONDO:0009693,C0026764
351,Cytovene|GANCICLOVIR|GANCICLOVIR SODIUM|GANCICLOVIR SODIUM.|GANCICLOVIR.|ZIRGAN,4678,Cytomegalovirus infection,MONDO:0005132,C0010823
352,CARIPRAZINE|VRAYLAR,1667655,Bipolar disorder|Schizophrenia|Depression,MONDO:0004985|MONDO:0005090|MONDO:0002050,C0005586|C0036341|C0011570
353,CYCLIZINE,2977,,,
354,FLUDROCORTISONE|FLUDROCORTISONE ACETATE.,4452,,,
355,DACLATASVIR|DACLATASVIR DIHYDROCHLORIDE|DACLATASVIR.|DAKLINZA,1606218,Hepatitis C|Hepatic cirrhosis,MONDO:0005231|MONDO:0005155,C0019196|C0023890
356,Nplate|romiplostim,805452,Immune thrombocytopenic purpura|Thrombocytopenia|Idiopathic thrombocytopenic purpura|Thrombocytopenic purpura|Myelodysplastic syndrome,MONDO:0008558|MONDO:0002049|MONDO:0008558|MONDO:0043768|MONDO:0018881,C0398650|C0040034|C0398650|C0857305|C3463824
357,DIPRIVAN|DISOPRIVAN|PROPOFOL|PROPOFOL.,8782,,,
358,ALDESLEUKIN|PROLEUKIN,70223,,,
359,ARTICAINE,592464,,,
360,SURMONTIL|trimipramine,10834,,,
361,HEMANGEOL|Inderal|PROPANOLOL|PROPRANOLOL|PROPRANOLOL HYDROCHLORIDE|PROPRANOLOL HYDROCHLORIDE.,8787,Haemangioma|Anxiety|Migraine|Hypertension|PHACES syndrome,MONDO:0006500|MONDO:0011918|MONDO:0008000|MONDO:0005044|MONDO:0011676,C0018916|C0003467|C0149931|C0020538|C2242617
362,ALPRAZOLAM|Alprazolam 0.25 mg|ALPRAZOLAM.|Xanax,596,Anxiety|Depression|Insomnia|Sleep disorder|Drug abuse|Panic disorder|Anxiety disorder|Generalised anxiety disorder|Post-traumatic stress disorder|Bipolar disorder,MONDO:0011918|MONDO:0002050|MONDO:0013600|MONDO:0003406|MONDO:0002491|MONDO:0005383|MONDO:0005618|MONDO:0001942|MONDO:0005146|MONDO:0004985,C0003467|C0011570|C0917801|C0851578|C0013146|C0030319|C0003469|C0270549|C0038436|C0005586
363,ALPROSTADIL|ALPROSTADIL.|Caverject|EDEX|MUSE|Prostin VR,598,,,
364,ARMODAFINIL|ARMODAFINIL.|NUVIGIL,641465,Narcolepsy|Sleep apnoea syndrome|Hypersomnia|Sleep disorder|Multiple sclerosis,MONDO:0021107|MONDO:0007147|MONDO:0005466|MONDO:0003406|MONDO:0005301,C0027404|C0037315|C0917799|C0851578|C0026769
365,PROPYLTHIOURACIL|PROPYLTHIOURACIL.,8794,Hyperthyroidism|Basedow's disease,MONDO:0015894|MONDO:0010138,C0020550|C0018213
366,LATANOPROST|LATANOPROST 0.005 % OPHTHALMIC SOLUTION|Latanoprost Ophthalmic Solution|LATANOPROST.|Xalatan,43611,Glaucoma|Open angle glaucoma|Ocular hypertension,MONDO:0005041|MONDO:0005338|MONDO:0006875,C0017601|C0017612|C0028840
367,COCAINE,2653,,,
368,BENGAY|BIOFREEZE|ICY HOT|LISTERINE ANTISEPTIC|MENTHOL|MENTHOL.|VICKS VAPORUB,6750,,,
369,ASCOTOP|ZOLMITRIPTAN|ZOLMITRIPTAN.|ZOMIG|ZOMIGORO,135775,Migraine,MONDO:0008000,C0149931
370,DABIGATRAN,1546356,Atrial fibrillation,MONDO:0004981,C0004238
371,CICLOPIROX|CICLOPIROX OLAMINE|CICLOPIROX OLAMINE.|CICLOPIROX.|LOPROX,21090,Onychomycosis,MONDO:0001628,C0040261
372,VENCLEXTA|Venetoclax|VENETOCLAX.,1747556,Chronic lymphocytic leukaemia|Acute myeloid leukaemia|Plasma cell myeloma|B-cell lymphoma|Mantle cell lymphoma|Non-Hodgkin's lymphoma|Diffuse large B-cell lymphoma|Myelodysplastic syndrome,MONDO:0004948|MONDO:0018874|MONDO:0009693|MONDO:0004095|MONDO:0018876|MONDO:0011508|MONDO:0018905|MONDO:0018881,C0023434|C0023467|C0026764|C0079731|C0334634|C0024305|C0079744|C3463824
373,Bendamustin|BENDAMUSTINE|BENDAMUSTINE HYDROCHLORIDE|BENDAMUSTINE HYDROCHLORIDE.|BENDEKA|TREANDA,134547,Chronic lymphocytic leukaemia|B-cell lymphoma|Plasma cell myeloma|Non-Hodgkin's lymphoma|Mantle cell lymphoma|Lymphoma|Diffuse large B-cell lymphoma|Hodgkin's disease|Waldenstrom's macroglobulinaemia,MONDO:0004948|MONDO:0004095|MONDO:0009693|MONDO:0011508|MONDO:0018876|MONDO:0005062|MONDO:0018905|MONDO:0009348|MONDO:0000432,C0023434|C0079731|C0026764|C0024305|C0334634|C0024299|C0079744|C0019829|C0024419
374,CARBOCAINE|MEPIVACAINE|MEPIVACAINE HYDROCHLORIDE|MEPIVACAINE HYDROCHLORIDE.,6759,,,
375,MEPROBAMATE|MEPROBAMATE.,6760,,,
376,DIACETYLMORPHINE|DIAMORPHINE|HEROIN,3304,,,
377,AMANTADINE|Amantadine Hydrochloride|AMANTADINE HYDROCHLORIDE.|AMANTADINE.|GOCOVRI,620,Parkinson's disease,MONDO:0005180,C0030567
378,Epoprostenol|EPOPROSTENOL SODIUM|EPOPROSTENOL SODIUM.|EPOPROSTENOL.|Flolan|Prostacyclin|Veletri,8814,Pulmonary arterial hypertension|Pulmonary hypertension|Cor pulmonale chronic|Portopulmonary hypertension,MONDO:0015924|MONDO:0005149|MONDO:0001493|MONDO:0017154,C2973725|C0020542|C0238074|C1868851
379,GEMFIBROZIL|GEMFIBROZIL.|Lipur|Lopid,4719,,,
380,METAXALONE|METAXALONE.|Skelaxin,59078,,,
381,CILOSTAZOL|CILOSTAZOL.|PLETAL,21107,Intermittent claudication|Cerebral infarction|Ischaemic stroke,MONDO:0005295|MONDO:0002679|MONDO:0011057,C0021775|C0007785|C0948008
382,NIMESULIDE,53694,,,
383,Solifenacin|VESICARE,322167,Bladder disorder|Benign prostatic hyperplasia|Cystitis interstitial|Neurogenic bladder,MONDO:0006026|MONDO:0010811|MONDO:0018301|MONDO:0001445,C0005686|C1704272|C0282488|C0005697
384,MITOMYCIN|MITOMYCIN C|MITOMYCIN-C|MITOMYCIN.|MITOSOL,632,Bladder cancer,MONDO:0001187,C0005684
385,PROTAMINE SULFATE|PROTAMINE SULFATE.,8825,,,
386,PROTAMINE,8826,,,
387,COLCHICINE|COLCHICINE.|COLCRYS|MITIGARE,2683,Gout|Familial mediterranean fever|Pericarditis|Behcet's syndrome,MONDO:0005393|MONDO:0009572|MONDO:0005904|MONDO:0007191,C0018099|C0031069|C0031046|C0004943
388,Colestid|COLESTIPOL|Colestipol HCl|COLESTIPOL HYDROCHLORIDE.,2685,,,
389,ALCOHOL|ALCOHOL.|DEHYDRATED ALCOHOL|ETHANOL,448,,,
390,ch14.18|DINUTUXIMAB|UNITUXIN,1606274,Neuroblastoma,MONDO:0009741,C0027819
391,AMILORIDE,644,,,
392,HCTZ|HYDROCHLOROTHIAZIDE|Hydrochlorothiazide 12.5 mg|HYDROCHLOROTHIAZIDE 12.5 MG.|Hydrochlorothiazide 25 mg|HYDROCHLOROTHIAZIDE.|MICROZIDE,5487,Hypertension,MONDO:0005044,C0020538
393,HARVONI|LEDIPASVIR|LEDIPASVIR/SOFOSBUVIR,1591942,Hepatitis C|Hepatic cirrhosis|Essential hypertension|Hepatitis|Gastrooesophageal reflux disease|Chronic hepatitis|Type 2 diabetes mellitus,MONDO:0005231|MONDO:0005155|MONDO:0007781|MONDO:0002251|MONDO:0007186|MONDO:0002251|MONDO:0015122,C0019196|C0023890|C0085580|C0019158|C0017168|C0019189|C0011860
394,CONZIP|Ryzolt|ULTRAM,10689,,,
395,APIDRA|INSULIN GLULISINE,400008,Diabetes mellitus|Type 1 diabetes mellitus|Type 2 diabetes mellitus,MONDO:0015122|MONDO:0009100|MONDO:0015122,C0011849|C0011854|C0011860
396,THEO-24|THEOPHYLLINE|THEOPHYLLINE ANHYDROUS.|UNIPHYL,10438,Chronic obstructive pulmonary disease|Asthma,MONDO:0011751|MONDO:0004979,C0024117|C0004096
397,metamizol,3523,,,
398,AMG 145|EVOLOCUMAB|REPATHA,1665684,Hyperlipidaemia|Type IIa hyperlipidaemia|Arteriosclerosis|Type V hyperlipidaemia|Dyslipidaemia|Arteriosclerosis coronary artery|Coronary artery disease|Cardiovascular disorder|Cardiac disorder|Myocardial infarction,MONDO:0013577|MONDO:0007750|MONDO:0002277|MONDO:0007762|MONDO:0015123|MONDO:0021661|MONDO:0005010|MONDO:0004995|MONDO:0005267|MONDO:0005068,C0020473|C0745103|C0003850|C0020481|C0242339|C0010054|C1956346|C0007222|C0018799|C0027051
399,COLISTIMETHATE SODIUM|COLISTIMETHATE SODIUM.|COLISTIN,2709,,,
400,Perjeta|Pertuzumab|PERTUZUMAB.,1298944,Breast cancer,MONDO:0007254,C0006142
401,CERTOLIZUMAB|CERTOLIZUMAB PEGOL|CIMZIA,709271,Rheumatoid arthritis|Crohn's disease|Psoriatic arthropathy|Ankylosing spondylitis|Psoriasis|Colitis ulcerative|Spondylitis|Arthritis|Juvenile idiopathic arthritis|Polyarthritis|Inflammatory bowel disease,MONDO:0008383|MONDO:0005011|MONDO:0011849|MONDO:0005306|MONDO:0005083|MONDO:0005101|MONDO:0003937|MONDO:0005578|MONDO:0011429|MONDO:0024280|MONDO:0005265,C0003873|C0010346|C0003872|C0038013|C0033860|C0009324|C0038012|C0003864|C3495559|C0162323|C0021390
402,FORTAMET|GLUCOPHAGE|GLUMETZA|Riomet,6809,Diabetes mellitus|Type 2 diabetes mellitus|Hyperglycaemia,MONDO:0015122|MONDO:0015122|MONDO:0002909,C0011849|C0011860|C0020456
403,umeclidinium|Umeclidinium Bromide,1487514,Chronic obstructive pulmonary disease,MONDO:0011751,C0024117
404,PROTEIN,8859,,,
